age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
24,Private,117767,Assoc-acdm,12,Never-married,Sales,Own-child,White,Male,0,0,20,United-States,<=50K
26,Private,159732,HS-grad,9,Widowed,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,<=50K
32,Private,93213,Assoc-acdm,12,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,62,United-States,<=50K
22,Private,379778,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
62,Private,247483,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
39,Private,195253,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
30,State-gov,158291,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
31,?,76198,HS-grad,9,Separated,?,Own-child,White,Female,0,0,20,United-States,<=50K
42,Private,24364,Some-college,10,Married-civ-spouse,Other-service,Wife,Black,Female,0,0,30,United-States,<=50K
33,Local-gov,169652,Assoc-voc,11,Never-married,Adm-clerical,Own-child,White,Male,0,1669,55,United-States,<=50K
19,Private,172893,Some-college,10,Never-married,Exec-managerial,Own-child,White,Female,0,0,30,United-States,<=50K
38,State-gov,364958,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,3464,0,40,United-States,<=50K
36,Private,90897,Assoc-acdm,12,Never-married,Tech-support,Not-in-family,White,Female,0,0,40,United-States,<=50K
25,Private,299908,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Black,Female,0,0,40,United-States,>50K
28,Private,230743,Assoc-acdm,12,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
30,Self-emp-not-inc,131584,Assoc-voc,11,Never-married,Craft-repair,Own-child,White,Male,0,0,60,United-States,<=50K
61,Private,137554,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
47,Private,264052,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,50,United-States,>50K
25,Private,57512,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,45,United-States,<=50K
60,Private,320376,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United-States,<=50K
